aetPValue,custPValue,dtfPValue,fwbtPValue,lrobPValue,mtPValue,retPValue,revtPValue,runsPValue,stPValue,lable
0.253,0.028,0.191,0.04,0.078,0.016,0.132,0.068,0.708,0.257,1
0.585,0.672,0.615,0.531,0.292,0.569,0,0.28,0.601,0.438,1
0.112,0.122,0.106,0.364,0,0.105,0.116,0.115,0.239,0.084,1
0.508,0.214,0.615,0.488,0.125,0.219,0.053,0.011,0.209,0.456,1
0.112,0.034,0.799,0.074,0.299,0.081,0.025,0.248,0.028,0.119,1
0.527,0.094,0.803,0.126,0.869,0.085,0,0.046,0.792,0.544,1
0.484,0.384,0.687,0.438,0.223,0.346,0,0.021,0.386,0.471,1
0.581,0.535,0.481,0.798,0.2,0.469,0.161,0.132,0.935,0.21,1
0.42,0.723,0.767,0.308,0.203,0.525,0.055,0.161,0.141,0.408,1
0.785,0.072,0.086,0.595,0.537,0.254,0.314,0.117,0.331,0.669,1
0.159,0.414,0.841,0.161,0.722,0.335,0.027,0,0.036,0.146,1
0.104,0.06,0.962,0.678,0.013,0.098,0,0.171,0.509,0.1,1
0.511,0.843,0.421,0.773,0.271,0.965,0.293,0.188,0.965,0.305,1
0.712,0.582,0.799,0.407,0.785,0.476,0.313,0.109,0.771,0.713,1
0.802,0.703,0.727,0.76,0.639,0.956,0,0.137,0.835,0.487,1
0.914,0.138,0.582,0.265,0.445,0.351,0.582,0.312,0.613,0.904,1
0.595,0.805,0.515,0.679,0.229,0.801,0.147,0.012,0.518,0.364,1
0.877,0.672,0.365,0.779,0.511,0.554,0.323,0.414,0.864,0.738,1
0.187,0.054,0.958,0.089,0.612,0.07,0.416,0.245,0.795,0.16,1
0.233,0.097,0.687,0.917,0.019,0.076,0.178,0.06,0.41,0.267,1
0.141,0.369,0.578,0.744,0.524,0.546,0.36,0.094,0.299,0.127,1
0.903,0.327,0.645,0.796,0.312,0.734,0.218,0.154,0.477,0.903,1
0.722,0.255,0.803,0.179,0.26,0.308,0.144,0.113,0.775,0.641,1
0.449,0.498,0.575,0.908,0.091,0.532,0.033,0.268,0.832,0.445,1
0.282,0.308,0.29,0.809,0.086,0.192,0.01,0,0.954,0.15,1
0.558,0.525,0.653,0.286,0.874,0.852,0.055,0.239,0.768,0.195,1
0.069,0.713,0.388,0.524,0.742,0.767,0.501,0.243,0.637,0.066,1
0.563,0.2,0.191,0.488,0.04,0.965,0.447,0.139,0.148,0.545,1
0.672,0.516,0.578,0.481,0.299,0.463,0.046,0.026,0.882,0.393,1
