aetPValue,custPValue,dtfPValue,fwbtPValue,lrobPValue,mtPValue,retPValue,revtPValue,runsPValue,stPValue,lable
0.214,0.079,0.449,0.572,0.263,0.122,0.034,0.198,0.165,0.203,0
0.248,0.125,0.227,0.8,0.643,0.069,0.039,0.027,0.047,0.253,0
0.404,0.219,0.962,0.177,0.533,0.351,0.103,0.098,0.484,0.166,0
0.833,0.919,0.92,0.41,0.796,0.844,0.095,0.271,0.346,0.718,0
0.508,0.463,0.684,0.642,0.055,0.726,0.103,0.041,0.63,0.165,0
0.192,0.896,0.365,0.783,0.277,0.878,0,0.153,0.878,0.205,0
0.296,0.785,0.92,0.87,0.491,0.844,0,0,0.324,0.106,0
0.85,0.266,0.515,0.944,0.294,0.411,0.222,0.058,0.355,0.797,0
0.959,0.805,0.691,0.609,0.275,0.677,0.132,0.042,0.963,0.697,0
0.501,0.244,0.121,0.861,0.815,0.329,0.109,0.074,0.743,0.189,0
0.135,0.023,0.338,0,0.947,0.112,0.102,0.04,0.243,0.083,0
0.069,0.334,0.191,0.224,0.373,0.357,0.156,0.221,0,0.069,0
0.382,0.141,0.608,0.406,0.984,0.148,0.053,0.156,0.065,0.396,0
0.379,0.2,0.365,0.732,0.047,0.236,0.109,0,0.377,0.362,0
0.459,0.535,0.615,0.847,0.661,0.693,0.043,0,0.046,0.423,0
0.209,0.602,0.481,0.522,0.227,0.844,0.061,0.074,0.417,0.046,0
0.958,0.814,0.962,0.988,0.981,0.669,0,0.29,0.786,0.682,0
0.883,0.04,0.027,0.425,0.674,0.303,0.47,0.316,0.592,0.883,0
0.661,0.148,0.763,0.025,0.616,0.392,0.089,0.452,0.703,0.651,0
0.468,0.744,0.16,0.026,0.57,0.726,0.292,0.162,0.104,0.284,0
0.943,0.516,0.225,0.384,0.585,0.417,0.092,0.327,0.731,0.754,0
0.177,0.302,0.763,0.952,0.47,0.38,0.031,0.023,0.749,0.038,0
0.712,0.308,0.767,0.096,0.589,0.335,0.173,0.247,0.399,0.43,0
0.779,0.102,0.023,0.207,0.667,0.504,0,0,0.36,0.674,0
0.849,0.621,0.878,0.115,0.075,0.734,0.031,0.012,0.318,0.783,0
0.803,0.439,0.546,0.724,0.253,0.554,0.047,0,0.979,0.481,0
0.889,0.912,0.049,0.582,0.58,0.956,0.102,0.172,0.298,0.706,0
0.834,0.174,0.92,0.074,0.873,0.405,0.061,0.046,0.501,0.7,0
0.795,0.692,0.365,0.273,0.591,0.826,0,0.04,0.878,0.553,0
0.813,0.455,0.799,0.427,0.4,0.904,0.179,0.378,0.939,0.81,0
0.225,0.141,0.763,0.442,0.305,0.219,0,0.527,0.032,0.229,0
0.31,0.631,0.723,0.194,0.142,0.424,0.281,0.034,0.016,0.298,0
0.769,0.041,0.763,0.242,0.982,0.114,0.228,0,0.479,0.775,0
0.667,0.713,0.844,0.78,0.313,0.965,0.142,0.34,0.096,0.551,0
0.019,0.051,0.449,0.718,0.185,0.031,0.22,0.381,0.601,0.021,0
0.345,0.472,0.615,0.388,0.277,0.726,0.01,0.211,0.555,0.336,0
0.997,0.651,0.055,0.731,0.552,0.948,0.201,0.308,0.759,0.968,0
0.978,0.631,0.512,0.397,0.18,0.436,0.338,0.352,0.962,0.901,0
0.786,0.563,0.615,0.357,0.27,0.369,0.237,0.151,0.35,0.761,0
0.873,0.422,0.107,0.481,0.133,0.283,0.046,0.115,0.923,0.718,0
0.35,0.662,0.287,0.533,0.105,0.869,0.013,0.122,0.637,0.342,0
0.364,0.196,0.687,0.13,0.087,0.357,0.182,0.118,0.178,0.298,0
0.184,0.071,0.096,0.034,0.44,0.081,0.187,0.041,0.303,0.178,0
0.45,0.384,0.189,0.16,0.125,0.726,0.457,0.378,0.999,0.456,0
0.814,0.498,0.723,0.622,0.817,0.991,0,0.167,0.591,0.758,0
0.816,0.118,0.33,0.188,0.962,0.177,0.011,0.232,0.749,0.804,0
0.037,0.355,0.543,0.034,0.611,0.726,0.227,0.428,0.087,0.012,0
0.682,0.348,0.242,0.552,0.669,0.734,0.077,0.493,0.297,0.633,0
0.247,0.116,0.841,0.956,0.364,0.196,0.144,0.093,0.892,0.123,0
0.821,0.071,0.227,0.26,0.412,0.125,0.247,0.317,0.627,0.824,0
0.38,0.051,0.837,0.75,0.245,0.046,0.084,0.245,0.93,0.394,0
0.444,0.525,0.848,0.556,0.364,0.693,0.085,0,0.553,0.429,0
0.826,0.205,0.268,0.933,0.336,0.303,0.384,0,0.546,0.641,0
0.28,0.94,0.687,0.974,0.497,0.948,0.357,0.103,0.091,0.198,0
0.469,0.982,0.723,0.194,0.841,0.869,0.139,0.327,0.098,0.361,0
0.78,0.785,0.118,0.876,0.936,0.767,0.331,0.309,0.107,0.778,0
0.55,0.631,0.92,0.1,0.786,0.599,0.24,0.016,0.445,0.216,0
0.271,0.879,0.841,0.727,0.457,0.895,0.212,0.147,0.709,0.076,0
0.432,0.933,0.394,0.908,0.798,0.818,0,0.052,0.576,0.418,0
0.763,0.754,0.421,0.113,0.21,0.861,0,0,0.13,0.759,0
0.584,0.244,0.582,0.389,0.723,0.49,0,0.187,0.479,0.375,0
0.964,0.516,0.575,0.952,0.638,0.956,0,0,0.852,0.831,0
0.828,0.498,0.615,0.421,0.993,0.456,0.013,0.138,0.55,0.525,0
0.677,0.272,0.615,0.252,0.662,0.203,0.364,0.44,0.723,0.571,0
0.492,0.602,0.191,0.515,0.922,0.726,0.42,0.316,0.392,0.245,0
0.541,0.713,0,0.367,0.652,0.742,0.036,0.084,0.777,0.156,0
0.404,0.703,0.582,0.876,0.433,0.424,0.133,0.061,0.513,0.165,0
0.665,0.498,0.191,0.38,0.175,0.63,0.503,0.024,0.95,0.434,0
0.67,0.122,0.365,0.384,0.079,0.211,0.124,0.258,0.892,0.482,0
0.314,0.045,0.582,0.152,0.988,0.078,0,0,0.644,0.295,0
0.1,0.834,1,0.717,0.156,0.809,0.088,0.147,0.614,0.063,0
0.961,0.229,0.844,0.388,0.84,0.456,0,0.12,0.831,0.857,0
0.252,0.151,0.079,0.379,0.392,0.259,0.056,0,0.691,0.08,0
0.726,0.107,0.365,0.105,0.045,0.254,0,0.248,0.787,0.709,0
0.478,0.912,1,0.939,0.927,0.759,0.449,0.165,0.676,0.133,0
0.21,0.341,1,0.852,0.448,0.219,0.204,0.239,0.536,0.213,0
0.15,0.087,0.365,0.102,0.329,0.142,0.027,0.209,0.484,0.092,0
0.664,0.148,0.763,0.46,0.21,0.154,0.023,0.262,0.456,0.653,0
0.602,0.602,0.763,0.852,0.528,0.569,0,0,0.91,0.217,0
0.367,0.888,0.452,0.27,0.995,0.974,0.069,0.225,0.157,0.355,0
0.338,0.155,0.546,0.387,0.139,0.109,0.033,0,0.995,0.332,0
0.942,0.946,0.841,0.738,0.829,0.878,0.08,0.036,0.346,0.88,0
0.806,0.159,0.452,0.342,0.995,0.128,0.305,0.253,0.327,0.809,0
0.344,0.422,0.208,0.03,0.518,0.298,0.282,0.232,0.335,0.233,0
0.808,0.463,0.449,0.718,0,0.801,0.245,0.227,0.436,0.808,0
0.24,0.672,0.021,0.763,0.44,0.525,0,0,0.226,0.252,0
0.562,0.439,0.191,0.913,0.255,0.417,0.245,0,0.388,0.597,0
0.883,0.414,0.515,0.709,0.368,0.463,0.356,0.045,0.252,0.882,0
0.301,0.219,0.189,0.745,0.545,0.196,0.671,0.1,0.075,0.301,0
0.121,0.871,0.01,0.962,0.095,0.921,0.353,0.258,0.637,0.126,0
0.194,0.278,0.248,0.144,0,0.669,0.036,0.022,0.451,0.1,0
0.311,0.205,0.515,0.904,0.957,0.685,0.096,0.073,0.592,0.144,0
0.269,0.321,0.294,0.873,0.866,0.767,0,0,0.717,0.072,0
0.364,0.785,0.958,0.569,0.578,0.801,0.083,0.179,0.701,0.358,0
0.584,0.255,0.227,0.099,0.751,0.236,0,0.151,0.028,0.575,0
0.341,0.692,0.292,0.279,0.367,0.751,0.296,0.327,0.733,0.161,0
0.903,0.824,0.687,0.913,0.928,0.965,0.084,0.111,0.776,0.588,0
0.805,0.033,1,0.689,0.888,0.142,0,0,0.692,0.767,0
0.186,0.369,0.107,0.839,0.863,0.776,0.349,0.421,0.345,0.138,0
0.163,0.026,0.365,0.446,0.65,0.024,0.026,0,0.922,0.147,0
0.485,0.652,0.878,0.701,0.844,0.576,0.326,0.415,0.704,0.183,2
0.681,0.179,0.687,0.553,0.39,0.148,0.118,0.344,0.196,0.674,2
0.398,0.234,0.035,0.214,0.944,0.324,0.042,0,0.199,0.236,2
0.406,0.155,0.615,0.704,0.863,0.181,0.05,0.05,0.585,0.454,2
0.044,0,0.088,0.041,0.243,0,0.247,0,0.749,0.042,2
0.401,0.376,0.159,0.307,0.338,0.709,0.192,0,0.628,0.14,2
0.339,0.29,0.159,0.278,0.169,0.228,0.086,0.178,0.183,0.346,2
0.853,0.163,0.841,0.522,0.171,0.181,0.045,0.013,0.418,0.857,2
0.381,0.553,0.625,0.494,0.926,0.599,0.179,0.047,0.915,0.193,2
0.769,0.384,0.582,0.086,0.496,0.546,0.096,0.161,0.682,0.634,2
0.544,0.234,0.023,0.153,0.108,0.164,0.065,0.427,0.75,0.543,2
0,0.166,0.174,0.598,0.787,0.268,0.031,0.367,0.498,0,2
0.271,0.843,0.546,0.44,0.473,0.826,0.233,0.125,0.039,0.281,2
0.521,0.957,0.924,0.845,0.543,0.93,0.148,0.028,0.497,0.245,2
0.057,0.045,0.653,0.186,0.094,0.112,0.634,0.302,0.48,0.054,2
0.992,0.824,0.882,0.466,0.159,0.887,0.109,0.109,0.669,0.927,2
0.528,0.447,0.05,0.48,0.321,0.532,0.14,0.158,0.121,0.536,2
0.364,0.692,0.719,0.094,0.818,0.784,0.013,0.081,0.318,0.294,2
0.263,0.391,0.763,0.947,0.084,0.726,0.555,0,0.124,0.263,2
0.167,0.525,0.421,0.936,0.192,0.913,0,0.18,0,0.171,2
0.344,0.174,0.92,0.79,0.661,0.13,0.536,0.149,0.647,0.256,2
0.84,0.255,0.615,0.096,0.543,0.369,0,0,0.352,0.814,2
