aetPValue,custPValue,dtfPValue,fwbtPValue,lrobPValue,mtPValue,retPValue,revtPValue,runsPValue,stPValue,lable
0.329,0.682,0.246,0.902,0.584,0.591,0.07,0.294,0.04,0.3,3
0.837,0.692,0.841,0.622,0.102,0.93,0.136,0.154,0.948,0.414,3
0.056,0,1,0.611,0.684,0,0,0.114,0.912,0.061,3
0.898,0.535,0.227,0.103,0.853,0.525,0,0.246,0.262,0.82,3
0.484,0.525,0.266,0.301,0.066,0.456,0.199,0.149,0.426,0.495,3
0.174,0.278,0.421,0.745,0.408,0.188,0.042,0.113,0.858,0.179,3
0.121,0.399,0.841,0.237,0.956,0.405,0.23,0.085,0.14,0.055,3
0.656,0.862,0.546,0.906,0.319,0.948,0.056,0.038,0.709,0.323,3
0.755,0.481,0.546,0.375,0.717,0.709,0.079,0.289,0.644,0.395,3
0.388,0.369,0.421,0.363,0.871,0.584,0.421,0.073,0.581,0.413,3
0.518,0.611,0.763,0.689,0,0.63,0.206,0.168,0.262,0.236,3
0.526,0.076,0.691,0.11,0.095,0.105,0.249,0.11,0.747,0.523,3
0.724,0.439,0.92,0.966,0.873,0.43,0.163,0.031,0.64,0.383,3
0.229,0.834,0.622,0.983,0.621,0.497,0.021,0.029,0.705,0.073,3
0.278,0.284,0.268,0.412,0.799,0.38,0.063,0.134,0.749,0.173,3
0.015,0.553,0.763,0.208,0.487,0.776,0.197,0.117,0.033,0.013,3
0.67,0.631,0.546,0.818,0.71,0.539,0.036,0,0.551,0.626,3
0.954,0.166,0.727,0.059,0.232,0.436,0.187,0.198,0.378,0.954,3
0.308,0.422,0.343,0.553,0.798,0.504,0,0.086,0.579,0.3,3
0.469,0.407,0.016,0.726,0.879,0.357,0.204,0.142,0.133,0.365,3
0.248,0.814,0.578,0.489,0.887,0.784,0.054,0.034,0,0.249,3
0.692,0.713,0.063,0.287,0.505,0.887,0.136,0,0.561,0.353,3
0.918,0.611,0.421,0.594,0.62,0.554,0.09,0.206,0.322,0.918,3
0.283,0.321,0.421,0,0.102,0.369,0.305,0.03,0.09,0.267,3
0.676,0.946,0.92,0.886,0.714,0.844,0.013,0.078,0.056,0.679,3
0.262,0.723,0.421,0.61,0.76,0.677,0.203,0.08,0.084,0.283,3
0.85,0.672,0.615,0.13,0.761,0.844,0.172,0.057,0.196,0.847,3
0.148,0.896,0.421,0.116,0.265,0.965,0.028,0,0.263,0.167,3
0.023,0.455,0.763,0.458,0.797,0.677,0.482,0.18,0.046,0.023,3
0.175,0.455,0.481,0.75,0.956,0.726,0.081,0.011,0.069,0.188,3
0.834,0.266,0.653,0.423,0.89,0.363,0.104,0.32,0.964,0.53,3
0.039,0.946,0.615,0.508,0.145,0.861,0.278,0.071,0.496,0.037,3
0,0,0.319,0.068,0.59,0,0.233,0.106,0.352,0,3
0.411,0.516,0.268,0.433,0.827,0.405,0.114,0.061,0.651,0.223,3
0.49,0.17,0.421,0.785,0.537,0.188,0.083,0.227,0.829,0.425,3
0.739,0.261,0.649,0.899,0.56,0.288,0.063,0,0.429,0.756,3
0.508,0.507,0.056,0.697,0.677,0.693,0.103,0.096,0.11,0.519,3
0.724,0.376,0.481,0.113,0.051,0.726,0.082,0.19,0.843,0.704,3
0.317,0.764,0.763,0.241,0.411,0.895,0,0.026,0.809,0.313,3
0.103,0.196,0.191,0.679,0.412,0.293,0.145,0.074,0.785,0.091,3
0.131,0.601,0.368,0.959,0.118,0.878,0.209,0.034,0.726,0.025,3
0.738,0.284,0.512,0.464,0.066,0.504,0.219,0.344,0.594,0.531,3
0.674,0.713,0.07,0.703,0.571,0.525,0.237,0.074,0.033,0.671,3
0.77,0.672,0.841,0.024,0.562,1,0.212,0.182,0.554,0.339,3
0.179,0.376,0.449,0.827,0.046,0.386,0.119,0.506,0.458,0.131,3
0.451,0.805,0.615,0.682,0.119,0.861,0.101,0.024,0.497,0.188,3
0.742,0.703,0.481,0.701,0.546,0.809,0.073,0.047,0.303,0.748,3
0.172,0.26,0,0.499,0.988,0.292,0.196,0.268,0.269,0.056,3
0.555,0.063,0.227,0.1,0.374,0.245,0.104,0.165,0.487,0.434,3
0.951,0.209,0.118,0.974,0.236,0.606,0.085,0,0.667,0.709,3
0.855,0.044,0.133,0.315,0.328,0.313,0,0.046,0.518,0.819,3
0.381,0.692,0.268,0.775,0.441,0.483,0.361,0,0.746,0.379,3
0.722,0.234,0.227,0.264,0.191,0.245,0,0.18,0.534,0.506,3
0.85,0.971,0.13,0.618,0.788,0.93,0.035,0.087,0.511,0.489,3
0.392,0.805,0.582,0.039,0.892,0.685,0.519,0.434,0.269,0.383,3
0.291,0.985,0.524,0.946,0.331,0.904,0.025,0,0.904,0.086,3
0.997,0.692,0.924,0.848,0.572,0.844,0,0.125,0.895,0.91,3
0.065,0.067,0.421,0.185,0.814,0.091,0.124,0.322,0.533,0.063,3
0.332,0.481,0.687,0.679,0.234,0.357,0.174,0.141,0.94,0.286,3
0.836,0.862,0.131,0.538,0.047,0.792,0.222,0.012,0.211,0.84,3
0.047,0.074,0.175,0.369,0.67,0.107,0.125,0.013,0.84,0.05,3
0.206,0.244,0.653,0.916,0.215,0.133,0,0,0.231,0.209,3
0.437,0.04,0.755,0.476,0.139,0.046,0.148,0,0.947,0.449,3
0.307,0.071,0.338,0.522,0.156,0.05,0.066,0.17,0.607,0.302,3
0.225,0.498,0.131,0.575,0.884,0.709,0.305,0.118,0.418,0.081,3
0.14,0.376,0.962,0.565,0.228,0.653,0.114,0.016,0.488,0.062,3
0.863,0.795,0.582,0.942,0.259,0.561,0,0.034,0.401,0.692,3
0.815,0.334,0.455,0.792,0.21,0.298,0,0.031,0.743,0.735,3
0.038,0.055,0.481,0.591,0.741,0.051,0.105,0.116,0.678,0.045,3
0.96,0.957,0.481,0.428,0.61,1,0.052,0.125,0.809,0.833,3
0.415,0.582,0.803,0.862,0.573,0.869,0.323,0.182,0.751,0.131,3
0.519,0.785,0.394,0.863,0.561,0.591,0.063,0.018,0.994,0.503,3
0.144,0.774,0.086,0.95,0.748,0.584,0,0.075,0.053,0.139,3
0.852,0.824,0.763,0.761,0.689,0.792,0.014,0.077,0.584,0.462,3
0.892,0.321,0.314,0.472,0.269,0.228,0.23,0.214,0.514,0.893,3
0.848,0.795,0.691,0.792,0.105,0.844,0,0.012,0.965,0.531,3
0.533,0.234,0.687,0.964,0.41,0.211,0.208,0.02,0.162,0.53,3
0.42,0.178,0.026,0.775,0.178,0.469,0.168,0.013,0.649,0.165,3
0.663,0.862,0.687,0.71,0.531,0.948,0.03,0.019,0.709,0.267,3
0.732,0.278,0.421,0.155,0.864,0.43,0.172,0.277,0.342,0.729,3
0.32,0.321,0.882,0.296,0.607,0.185,0.063,0.264,0.461,0.194,3
0.647,0.249,0.491,0.96,0.613,0.303,0.19,0.111,0.939,0.415,3
