aetPValue,custPValue,dtfPValue,fwbtPValue,lrobPValue,mtPValue,retPValue,revtPValue,runsPValue,stPValue,lable
0.077,0.595,0.167,0.481,0.812,0.756,0.088,0.013,0.111,0.077,2
0.722,0.703,0.257,0.919,0.589,0.832,0.023,0.042,0.249,0.656,2
0.679,0.634,0.635,0.341,0.84,0.413,0.135,0.017,0.871,0.295,2
0.994,0.664,0.394,0.065,0.742,0.625,0.094,0.036,0.593,0.95,2
0.626,0.106,0.526,0.147,0.19,0.234,0,0.106,0.767,0.626,2
0.402,0.48,0.332,0.766,0.517,0.69,0.066,0.245,0.4,0.402,2
0.133,0.115,0.732,0.441,0.958,0.194,0,0.195,0.618,0.119,2
0.833,0.761,0.894,0.646,0.541,0.845,0.059,0.355,0.293,0.833,2
0.977,0.368,0.99,0.103,0.998,0.466,0.081,0,0.949,0.905,2
0.272,0.621,0.239,0.266,0.808,0.761,0,0.051,0.119,0.186,2
0.437,0.218,0.257,0.014,0.811,0.196,0.072,0.013,0.184,0.437,2
0.023,0.221,0.954,0.173,0.043,0.196,0,0.25,0,0.023,2
0.052,0.114,0.069,0.631,0.18,0.113,0.069,0.031,0.012,0.051,2
0.536,0.158,0.476,0.787,0.938,0.448,0.147,0.026,0.396,0.262,2
0.078,0.443,0.273,0.774,0.023,0.523,0.037,0.129,0.974,0.035,2
0.525,0.07,0.48,0.501,0.845,0.194,0.073,0.042,0.533,0.524,2
0.482,0.611,0.849,0.98,0.95,0.411,0.132,0.103,0.839,0.269,2
0.02,0,0.81,0.767,0.096,0,0.141,0.037,0.255,0.021,2
0.083,0.075,0.604,0.688,0.137,0.062,0.184,0.146,0.643,0.082,2
0.337,0.053,0.276,0.358,0.053,0.055,0.554,0.28,0.055,0.337,2
0.28,0.107,0.245,0.607,0.119,0.061,0.097,0.031,0.543,0.28,2
0.22,0.362,0.773,0.915,0.389,0.302,0.157,0.039,0.321,0.098,2
0.389,0.542,0.849,0.561,0.837,0.73,0,0.097,0.957,0.258,2
0.644,0.251,0.272,0.714,0.653,0.594,0.145,0.067,0.44,0.397,2
0.674,0.497,0.541,0.082,0.212,0.792,0.031,0.282,0.7,0.674,2
0.97,0.783,0.417,0.954,0.696,0.669,0.083,0.165,0.998,0.97,2
0.815,0.713,0.49,0.948,0.382,0.797,0.061,0.313,0.375,0.815,2
0.032,0.102,0.296,0.31,0.792,0.087,0.079,0.052,0.258,0.032,2
0.729,0.197,0.192,0.437,0.247,0.115,0.035,0,0.62,0.729,2
0.852,0.205,0.012,0.464,0.44,0.208,0.062,0.02,0.374,0.853,2
0.621,0.528,0.034,0.77,0.349,0.565,0.011,0.012,0.982,0.281,2
0.563,0.369,0.514,0.396,0.487,0.426,0.258,0.206,0.907,0.228,2
0.048,0.394,0.446,0.725,0.177,0.305,0.032,0.163,0.486,0.016,2
0.321,0.752,0.965,0.787,0.781,0.643,0.284,0.168,0.799,0.106,2
0.338,0.383,0.414,0.901,0.143,0.685,0.173,0.12,0.085,0.299,2
0.06,0.687,0.549,0.621,0.581,0.618,0.038,0.02,0.907,0.06,2
0.266,0,0.275,0.824,0.226,0,0,0.193,0.562,0.265,2
0.061,0.275,0.929,0.857,0.804,0.489,0.28,0.205,0.302,0.061,2
0.999,0.677,0.057,0.75,0.801,0.781,0,0.126,0.532,0.984,2
0.2,0.429,0.457,0.55,0.859,0.316,0.095,0.017,0.283,0.183,2
0.645,0.185,0.263,0.838,0.021,0.151,0.223,0.34,0.447,0.643,2
0.166,0.437,0.37,0.018,0.155,0.604,0.035,0.319,0.354,0.046,2
0.393,0.11,0.403,0.025,0.316,0.346,0.071,0.477,0.967,0.306,2
0.427,0.015,0.582,0.332,0.771,0.05,0.185,0.093,0.447,0.426,2
0.77,0.548,0.814,0.014,0.142,0.381,0.147,0.42,0.963,0.77,2
0.544,0.381,0.504,0.73,0.849,0.471,0.015,0,0.133,0.543,2
0.328,0.051,0.522,0.052,0.648,0.038,0.024,0.119,0.389,0.328,2
0.742,0.025,0.344,0.194,0.414,0.154,0,0.017,0.726,0.744,2
0.733,0.484,0.545,0.343,0.979,0.791,0.168,0.064,0.526,0.361,2
0.018,0.324,0.877,0.334,0.802,0.317,0.087,0.076,0.015,0.018,2
0.347,0.512,0.81,0.636,0.281,0.806,0.022,0.218,0.32,0.16,2
0.247,0.083,0.13,0.201,0.399,0.103,0.094,0.314,0.08,0.247,2
0.844,0.257,0.69,0.893,0.057,0.564,0.026,0.028,0.876,0.778,2
0.071,0.913,0.293,0.479,0.703,0.942,0.186,0.267,0.89,0.051,2
0.223,0.052,0.248,0.5,0.025,0.579,0.063,0.192,0.859,0.042,2
0.099,0.03,0.066,0.778,0.545,0.03,0.117,0.027,0.737,0.098,2
0.669,0.5,0.82,0.022,0.518,0.991,0.131,0.127,0.943,0.439,2
0.829,0.595,0.092,0.558,0.316,0.701,0.142,0.219,0.862,0.554,2
0.473,0.533,0.29,0.16,0.242,0.494,0.063,0.013,0.787,0.337,2
0.021,0.031,0.626,0.807,0.638,0.027,0.17,0.341,0,0.021,2
0.291,0.23,0.93,0.152,0.084,0.133,0.201,0.059,0.081,0.29,2
0.829,0.681,0.949,0.953,0.313,0.747,0.191,0.071,0.611,0.426,2
0.589,0.683,0.348,0.402,0.376,0.822,0.333,0.115,0.516,0.46,2
0.47,0.331,0.22,0.54,0.846,0.595,0.049,0.069,0.91,0.19,2
0.899,0.508,0.191,0.924,0.361,0.646,0.06,0.018,0.632,0.898,2
0.735,0.407,1,0.246,0.142,0.452,0.023,0.053,0.823,0.394,2
0.034,0.057,0.869,0.214,0.791,0.174,0.017,0.517,0.308,0.034,2
0.191,0.099,0.676,0.023,0.545,0.107,0.052,0.132,0.581,0.152,2
0.381,0.839,0.709,0.905,0.82,0.591,0.042,0.044,0.963,0.379,2
0.248,0.388,0.436,0.658,0.726,0.313,0.131,0.02,0.12,0.248,2
0.229,0.159,0.178,0.315,0.423,0.126,0.14,0.531,0.878,0.091,2
0.684,0.709,0.788,0.285,0.652,0.547,0.075,0.202,0.789,0.684,2
0.307,0.456,0.626,0.836,0.518,0.581,0.096,0,0.137,0.199,2
0.97,0.871,0.107,0.065,0.279,0.903,0.06,0.112,0.988,0.727,2
0.244,0.886,0.104,0.799,0.527,0.947,0.17,0.165,0.115,0.244,2
0.401,0.623,0.308,0.967,0.051,0.489,0.11,0.111,0.635,0.345,2
0.229,0.046,0.78,0.021,0.209,0.057,0.242,0.087,0.448,0.184,2
0.126,0.887,0.449,0.983,0.528,0.932,0.13,0.048,0.096,0.126,2
0.018,0.347,0.46,0.528,0.562,0.437,0,0.137,0.023,0.018,2
0.881,0.603,0.219,0.443,0.495,0.404,0.473,0.298,0.873,0.762,2
0.292,0.052,0.288,0.454,0.644,0.235,0.187,0.087,0.205,0.291,2
0.731,0.742,0.547,0.264,0.918,0.667,0.179,0.015,0.085,0.724,2
0.615,0.01,0.145,0,0.389,0.081,0.203,0.03,0.268,0.614,2
0.656,0.619,0.709,0.821,0.923,0.643,0.017,0.036,0.29,0.656,2
0.241,0.144,0.754,0.931,0.527,0.197,0.23,0.142,0.503,0.24,2
0.68,0.974,0.161,0.961,0.898,0.814,0.135,0.058,0.363,0.68,2
