aetPValue,custPValue,dtfPValue,fwbtPValue,lrobPValue,mtPValue,retPValue,revtPValue,runsPValue,stPValue,lable
0.737,0.101,0.17,0.628,0.97,0.167,0.051,0,0.895,0.738,3
0.583,0.243,0.083,0.905,0.823,0.489,0.152,0.078,0.243,0.502,3
0.092,0.095,0.396,0.238,0.038,0.074,0.189,0.302,0.379,0.059,3
0.101,0.243,0,0.24,0.252,0.308,0.06,0.011,0.619,0.101,3
0.344,0.899,0.109,0.391,0.589,0.928,0.183,0.235,0.966,0.202,3
0.461,0.137,0.884,0.723,0.997,0.264,0.016,0.061,0.299,0.256,3
0.413,0.951,0.694,0.947,0.864,0.892,0.203,0.142,0.487,0.182,3
0.652,0.621,0.39,0.49,0.53,0.883,0.359,0.495,0.176,0.467,3
0.897,0.758,0.573,0.501,0.584,0.739,0.328,0.311,0.537,0.897,3
0.572,0.218,0.914,0.745,0.946,0.184,0.018,0.02,0.967,0.367,3
0.731,0.482,0.644,0.688,0.919,0.895,0.082,0.086,0.455,0.491,3
0.588,0.717,0.775,0.396,0.941,0.885,0.172,0.104,0.776,0.309,3
0.257,0.57,0.478,0.917,0.228,0.991,0.012,0.116,0.612,0.176,3
0.804,0.622,0.646,0.866,0.399,0.539,0.151,0.12,0.601,0.422,3
0.301,0.421,0.205,0.559,0.87,0.577,0.223,0.036,0.809,0.267,3
0.571,0.388,0.436,0.694,0.975,0.847,0.042,0.157,0.041,0.571,3
0.181,0.833,0.498,0.954,0.504,0.866,0.168,0.068,0.999,0.182,3
0.81,0.884,0.047,0.826,0.165,0.908,0.099,0.034,0.278,0.586,3
0.263,0.679,0.106,0.331,0.748,0.936,0.024,0.238,0.909,0.262,3
0.301,0.143,0.621,0.048,0.755,0.089,0,0,0.196,0.302,3
0.548,0.845,0.414,0.942,0.633,0.806,0.063,0.198,0.743,0.548,3
0.579,0.499,0.146,0.976,0.07,0.56,0.025,0.097,0.982,0.312,3
0.295,0.067,0.342,0.836,0.019,0.089,0.07,0.227,0.302,0.294,3
0.393,0.092,0.641,0.154,0.9,0.134,0.016,0.031,0.468,0.393,3
0.013,0.014,0.128,0.157,0.645,0.052,0,0,0.433,0.013,3
0.986,0.827,0.907,0.945,0.105,0.861,0.013,0.013,0.92,0.804,3
0.719,0.736,0.049,0.835,0.211,0.639,0.169,0.123,0.359,0.576,3
0.315,0.535,0.456,0.451,0.378,0.518,0.032,0.115,0.905,0.314,3
0.895,0.263,0.713,0.584,0.95,0.487,0,0.028,0.966,0.666,3
0.883,0.891,0.405,0.873,0.349,0.958,0.196,0.22,0.773,0.608,3
0.32,0.219,0.96,0.335,0.904,0.198,0.149,0.252,0.647,0.321,3
0.996,0.416,0.837,0.825,0.375,0.882,0.218,0.111,0.584,0.942,3
0.459,0.436,0.518,0.884,0.328,0.331,0.321,0.183,0.664,0.254,3
0.677,0.283,0.586,0.04,0.502,0.328,0.023,0,0.979,0.453,3
0.187,0.218,0.16,0.803,0.714,0.165,0.12,0.019,0.91,0.067,3
0.512,0.332,0.174,0.676,0.799,0.234,0.147,0,0.655,0.405,3
0.683,0.403,0.323,0.926,0.248,0.435,0.13,0.349,0.302,0.683,3
0.865,0.422,0.919,0.456,0.338,0.596,0.109,0.137,0.69,0.528,3
0.727,0.745,0.046,0.998,0.841,0.911,0.011,0.022,0.889,0.595,3
