aetPValue,custPValue,dtfPValue,fwbtPValue,lorbPValue,mtPValue,retPValue,revtPValue,rtPValue,stPValue,lable
0.374,0.243,0.697,0.823,0.857,0.28,0.051,0,0.786,0.208,1
0.931,0.405,0.726,0.339,0.299,0.515,0.083,0.26,0.919,0.709,1
0.014,0.811,0.811,0.937,0.835,0.768,0.056,0,0.16,0.014,1
0.467,0.689,0.579,0.751,0.737,0.761,0.103,0.101,0.547,0.467,1
0.84,0.083,0.056,0.444,0.998,0.084,0,0.067,0.666,0.84,1
0.801,0.716,0.131,0.794,0.564,0.548,0.117,0.105,0.421,0.561,1
0.913,0.537,0.584,0.652,0.866,0.44,0.141,0.259,0.834,0.682,1
0.347,0.315,0.933,0.034,0.523,0.653,0.24,0.075,0.067,0.346,1
0.458,0.023,0.209,0.157,0.271,0.144,0.207,0.057,0.693,0.336,1
0.111,0.042,0.407,0.305,0.574,0.1,0,0.04,0.07,0.111,1
0.186,0.122,0.377,0.511,0.133,0.229,0.116,0.038,0.625,0.083,1
0.544,0.173,0.34,0.676,0.336,0.17,0.217,0.406,0.574,0.544,1
0.57,0.281,0.997,0.534,0.878,0.506,0.024,0.086,0.535,0.436,1
0.524,0.766,0.871,0.669,0.231,0.707,0.358,0.271,0.966,0.177,1
0.854,0.087,0.3,0.138,0.067,0.255,0.224,0.489,0.709,0.668,1
0.807,0.199,0.906,0.468,0.325,0.128,0.216,0.057,0.985,0.807,1
0.161,0.07,0.806,0.256,0.259,0.211,0.266,0.064,0.557,0.16,1
0.759,0.56,0.352,0.414,0.08,0.42,0.04,0,0.082,0.759,1
0.944,0.885,0.603,0.639,0.469,0.995,0.077,0.16,0.14,0.944,1
0.679,0.488,0.91,0.256,0.503,0.465,0.316,0.297,0.518,0.458,1
0.282,0.694,0.014,0.64,0.304,0.572,0.025,0.318,0.21,0.115,1
0.7,0.165,0.88,0.316,0.409,0.131,0.099,0.036,0.337,0.699,1
0.726,0.338,0.704,0.199,0.065,0.749,0.021,0.158,0.938,0.275,1
0.965,0.428,0.078,0.036,0.441,0.495,0.112,0.073,0.393,0.902,1
0.238,0.539,0.481,0.166,0.592,0.564,0.076,0.032,0.071,0.238,1
0.753,0.772,0.067,0.881,0.583,0.922,0.297,0.141,0.583,0.669,1
0.632,0.208,0.753,0.362,0.316,0.818,0.18,0.569,0.676,0.441,1
0.867,0.376,0.694,0.518,0.359,0.696,0.168,0.089,0.93,0.485,1
0.688,0.273,0.468,0.04,0.936,0.627,0.177,0,0.848,0.641,1
0.273,0.237,0.455,0.175,0.432,0.263,0.131,0.198,0.287,0.272,1
0.439,0.03,0.291,0.555,0.484,0.123,0.176,0.328,0.917,0.386,1
0.505,0.101,0.3,0.349,0.532,0.114,0.062,0.112,0.688,0.373,1
0.221,0.299,0.559,0.352,0.548,0.628,0.241,0.043,0.319,0.221,1
0.926,0.536,0.981,0.579,0.804,0.874,0,0.104,0.298,0.926,1
0.422,0.413,0.729,0.039,0.482,0.476,0.172,0.068,0.977,0.421,1
0.557,0.208,0.16,0.115,0.033,0.217,0.104,0.303,0.176,0.541,1
0.814,0.472,0.545,0.022,0.452,0.349,0,0,0.341,0.688,1
0.88,0.942,0.377,0.84,0.924,0.904,0.198,0.321,0.401,0.785,1
0.734,0.674,0.372,0.596,0.305,0.527,0.109,0.154,0.608,0.429,1
0.48,0.44,0.778,0.781,0.014,0.402,0.079,0.174,0.1,0.48,1
0.436,0.11,0.873,0.519,0.898,0.193,0.183,0.246,0.539,0.412,1
0.251,0.016,0.272,0.547,0.374,0.028,0.132,0.015,0.286,0.251,1
0.678,0.765,0.65,0.373,0.42,0.794,0.03,0.013,0.78,0.505,1
0.322,0.117,0.92,0.729,0.394,0.209,0.502,0.164,0.192,0.24,1
0.732,0.469,0.448,0.099,0,0.48,0.238,0.017,0.054,0.732,1
0.317,0.161,0.451,0.037,0.422,0.377,0.014,0.131,0.136,0.215,1
0.738,0.887,0.218,0.254,0.204,0.939,0.068,0.037,0.578,0.679,1
0.502,0.476,0.663,0.578,0.205,0.88,0.026,0.109,0.107,0.503,1
0.339,0.45,0.349,0.523,0.294,0.698,0.568,0.042,0.041,0.339,1
0.258,0.057,0.996,0.779,0.463,0.063,0.096,0.121,0.033,0.258,1
0.695,0.071,0.765,0.113,0.69,0.079,0.073,0.581,0.618,0.695,1
0.367,0.109,0.398,0.3,0.471,0.079,0.105,0,0.462,0.295,1
0,0.768,0.309,0.545,0.928,0.708,0.156,0,0.874,0,1
