aetPValue,custPValue,dtfPValue,fwbtPValue,lorbPValue,mtPValue,retPValue,revtPValue,rtPValue,stPValue,lable
0.345,0.544,0.216,0.754,0.2,0.435,0.289,0.296,0.167,0.345,0
0.494,0.397,0.913,0.255,0.182,0.438,0.264,0.064,0.26,0.414,0
0.935,0.341,0.433,0.333,0.678,0.505,0.132,0.147,0.878,0.721,0
0.954,0.336,0.062,0.277,0.424,0.485,0.085,0.13,0.337,0.88,0
0.039,0,0.904,0.031,0.251,0,0.183,0.149,0.03,0.038,0
0.4,0.91,0.644,0.351,0.622,0.877,0.026,0.462,0.949,0.153,0
0.505,0.861,0.314,0.65,0.261,0.923,0.151,0.369,0.796,0.277,0
0.029,0.834,0.897,0.604,0.83,0.828,0.217,0.149,0.093,0.028,0
0.399,0.345,0.354,0.789,0.432,0.305,0.241,0.622,0.249,0.398,0
0.852,0.096,0.035,0.763,0.496,0.159,0.195,0.066,0.953,0.782,0
0.56,0.256,0.665,0.418,0.275,0.335,0.209,0.19,0.691,0.56,0
0.899,0.741,0.761,0.914,0.741,0.911,0.37,0.054,0.264,0.707,0
0.355,0.528,0.713,0.187,0.965,0.672,0.104,0.135,0.46,0.102,0
0.684,0.688,0.313,0.182,0.243,0.909,0.191,0.454,0.742,0.303,0
0.996,0.923,0.516,0.994,0.614,0.922,0.183,0.015,0.485,0.952,0
0.436,0.157,0.891,0.448,0.742,0.096,0.015,0,0.776,0.289,0
0.365,0.494,0.439,0.84,0.865,0.637,0.064,0.252,0.597,0.31,0
0.028,0.011,0.676,0.349,0.684,0.036,0.514,0.417,0.101,0.029,0
0.147,0.697,0.557,0.542,0.608,0.545,0.08,0.098,0.451,0.081,0
0.074,0.037,0.379,0.585,0.07,0.037,0.139,0.347,0.809,0.074,0
0.434,0.395,0.237,0.614,0.736,0.256,0.2,0,0.798,0.183,0
0.647,0.509,0.527,0.561,0.121,0.639,0.049,0.019,0.553,0.282,0
0.113,0.949,0.25,0.608,0.948,0.908,0.086,0.094,0,0.112,0
0.207,0.148,0.919,0.378,0.428,0.285,0.195,0.028,0.05,0.207,0
0.162,0.312,0.818,0.849,0.277,0.431,0.333,0.41,0.836,0.138,0
0.426,0.381,0.924,0.542,0.96,0.37,0.118,0.02,0.368,0.426,0
0.581,0.481,0.719,0.288,0.982,0.448,0.217,0.02,0.062,0.581,0
0.889,0.2,0.661,0.29,0.346,0.208,0.114,0.118,0.952,0.755,0
0.724,0.383,0.031,0.267,0.606,0.41,0.289,0.16,0.516,0.393,0
0.311,0.417,0.022,0.13,0.792,0.439,0.075,0.105,0.229,0.311,0
0.69,0.724,0.208,0.959,0.791,0.883,0.057,0.126,0.38,0.525,0
0.13,0.029,0.091,0.273,0.378,0.034,0.02,0.125,0.675,0.11,0
0.694,0.53,0.474,0.423,0.987,0.726,0,0.286,0.146,0.694,0
0.731,0.561,0.182,0.298,0.574,0.77,0.126,0.216,0.54,0.483,0
0.341,0.861,0.61,0.225,0.429,0.956,0.013,0.022,0.416,0.081,0
0.7,0.16,0.322,0.299,0.771,0.1,0.039,0.044,0.783,0.7,0
0.229,0.069,0.083,0.656,0.839,0.041,0.022,0.038,0.297,0.228,0
0.56,0.371,0,0.339,0.968,0.474,0.126,0.517,0.581,0.246,0
0.81,0.541,0.512,0.538,0.45,0.726,0.126,0.049,0.984,0.634,0
0.24,0.605,0.829,0.378,0.081,0.686,0.067,0.041,0.41,0.068,0
0.839,0.706,0.694,0.833,0.312,0.729,0.313,0.102,0.204,0.719,0
0.885,0.532,0.495,0.548,0.313,0.441,0.188,0.012,0.38,0.729,0
0.039,0.58,0.344,0.072,0.106,0.702,0.079,0,0.778,0.039,0
0.363,0.496,0.913,0.613,0.259,0.635,0.129,0.167,0.948,0.102,0
0.122,0,0.57,0.058,0.375,0.011,0.028,0.153,0.776,0.122,0
0.024,0.282,0.467,0.47,0.342,0.279,0.016,0.279,0.648,0.024,0
0.164,0.083,0.99,0.478,0.724,0.044,0.056,0.045,0.923,0.163,0
0.553,0.857,0.502,0.116,0.515,0.954,0.02,0,0.349,0.367,0
0.491,0.5,0.738,0.078,0.155,0.379,0.155,0.119,0.319,0.491,0
0.613,0.409,0.188,0.338,0.597,0.466,0,0,0.749,0.379,0
0.122,0.127,0.974,0.221,0.493,0.098,0.031,0,0.254,0.123,0
0.445,0.066,0.956,0.671,0.564,0.047,0.127,0.025,0.791,0.445,0
0.112,0.476,0,0.629,0.997,0.703,0.065,0.238,0.795,0.112,0
0.915,0.562,0.978,0.677,0.639,0.709,0.111,0.081,0.664,0.915,0
0.671,0.371,0.728,0.488,0.328,0.876,0.051,0.081,0.891,0.552,0
0.123,0.614,0.402,0.255,0.255,0.911,0.253,0.412,0.515,0.094,0
0.447,0.531,0.287,0.674,0.442,0.778,0.06,0.169,0.586,0.447,0
0.096,0.558,0.621,0.788,0.674,0.755,0.014,0,0.485,0.06,0
0.907,0.321,0.406,0.297,0.671,0.439,0.146,0.242,0.943,0.741,0
0.481,0.565,0.92,0.284,0.963,0.804,0.105,0,0.05,0.48,0
0.751,0.783,0.982,0.408,0.325,0.777,0.388,0.257,0.981,0.581,0
0.584,0.527,0.873,0.729,0.45,0.574,0.081,0.131,0.652,0.239,0
0.392,0.569,0.494,0.11,0.992,0.594,0.08,0.081,0.262,0.392,0
0.071,0.852,0.257,0.193,0.067,0.734,0.045,0.086,0.503,0.013,0
0.511,0.77,0.072,0.708,0.581,0.728,0.415,0.095,0.373,0.512,0
0.971,0.506,0.694,0.15,0.102,0.965,0.382,0.236,0.434,0.888,0
0.391,0.908,0.91,0.888,0.115,0.828,0.031,0.079,0.708,0.182,0
0.461,0.298,0.54,0.89,0.622,0.41,0.218,0.086,0.254,0.305,0
0.949,0.636,0.869,0.665,0.352,0.979,0.075,0.249,0.474,0.932,0
0.924,0.839,0.162,0.989,0.842,0.677,0.175,0.106,0.941,0.794,0
0.428,0.618,0.06,0.321,0.954,0.866,0.039,0.022,0.724,0.427,0
0.548,0.281,0.438,0.437,0.757,0.321,0.085,0.124,0.093,0.55,0
0.589,0.211,0.338,0.521,0.601,0.144,0.216,0.216,0.989,0.589,0
0.304,0.287,0.188,0.541,0.616,0.279,0.274,0,0.633,0.305,0
0.641,0.235,0.875,0.153,0.848,0.191,0.132,0.282,0.361,0.602,0
0.227,0.545,0.94,0.684,0.173,0.536,0,0,0.412,0.087,0
0.046,0.197,0.312,0.158,0.292,0.192,0.06,0.085,0.081,0.046,0
0.187,0.026,0.214,0.914,0.767,0.039,0.056,0.483,0.253,0.186,0
0.217,0.742,0.723,0.848,0.097,0.92,0.138,0.347,0.923,0.143,0
0.888,0.251,0.351,0.014,0.928,0.251,0.06,0.013,0.675,0.888,0
0.819,0.111,0.351,0.128,0.53,0.583,0.129,0.196,0.639,0.765,0
0.421,0.625,0.254,0.78,0.758,0.822,0.083,0.112,0.11,0.422,0
0.06,0,0.813,0.637,0.571,0.012,0.045,0,0.864,0.06,0
0.412,0.704,0.983,0.548,0.929,0.835,0.175,0.084,0.402,0.235,0
0.058,0.11,0.904,0.199,0.66,0.091,0.135,0.064,0.036,0.059,0
