aetPValue,custPValue,dtfPValue,fwbtPValue,lrobPValue,mtPValue,retPValue,revtPValue,runsPValue,stPValue,lable
0.55,0.924,0.194,0.642,0.694,0.814,0.103,0.075,0.976,0.208,1
0.717,0.202,0.199,0.565,0.125,0.17,0.168,0.353,0.825,0.717,1
0.613,0.166,0.557,0.1,0.65,0.09,0.427,0.263,0.537,0.614,1
0.242,0.437,0.831,0.54,0.181,0.361,0.17,0.225,0.101,0.242,1
0.162,0.188,0.67,0.325,0.205,0.188,0.162,0.203,0.171,0.163,1
0.963,0.56,0.46,0.24,0.118,0.642,0.02,0.061,0.706,0.722,1
0.473,0.324,0.616,0.179,0.426,0.384,0.422,0.343,0.79,0.164,1
0.188,0.143,0.353,0.396,0.201,0.211,0.258,0.315,0.327,0.188,1
0.685,0.551,0.709,0.582,0.824,0.763,0.21,0.232,0.998,0.478,1
0.885,0.247,0.117,0.351,0.5,0.446,0.012,0.176,0.84,0.807,1
0.454,0.526,0.777,0.469,0.553,0.864,0.05,0.05,0.366,0.394,1
0.957,0.46,0.228,0.501,0.128,0.482,0.127,0.103,0.674,0.957,1
0.969,0.958,0.647,0.409,0.607,0.913,0.177,0.023,0.408,0.964,1
0.3,0.239,0.513,0.092,0.66,0.791,0.049,0.102,0.197,0.191,1
0.477,0.611,0.848,0.883,0.421,0.55,0.109,0.036,0.496,0.155,1
0.319,0.459,0.672,0.958,0.414,0.374,0,0.424,0.325,0.136,1
0.153,0.621,0.948,0.021,0.961,0.584,0.372,0.019,0.086,0.153,1
0.348,0.551,0.938,0.667,0.173,0.642,0.188,0.114,0.015,0.347,1
0.988,0.369,0.023,0.229,0.06,0.641,0.376,0.08,0.958,0.919,1
0.251,0.233,0.366,0.678,0.772,0.259,0,0,0.166,0.251,1
0.608,0.638,0.501,0.811,0.09,0.714,0.05,0.162,0.163,0.608,1
0.106,0.836,0.292,0.955,0.88,0.698,0.187,0.017,0.805,0.106,1
0.654,0.835,0.905,0.362,0.966,0.726,0.089,0.099,0.378,0.653,1
0.978,0.395,0.647,0.556,0.205,0.64,0.346,0.064,0.922,0.976,1
0.866,0.182,0.976,0.153,0.551,0.261,0.051,0.074,0.386,0.832,1
