aetPValue,custPValue,dtfPValue,fwbtPValue,lrobPValue,mtPValue,retPValue,revtPValue,runsPValue,stPValue,lable
0.689,0.318,0.461,0.368,0.365,0.761,0.102,0.309,0.395,0.363,0
0.564,0.772,0.419,0.429,0.864,0.708,0.051,0.077,0.95,0.538,0
0.41,0.804,0.605,0.697,0.328,0.876,0.147,0.111,0.731,0.36,0
0.898,0.699,0.626,0.813,0.237,0.833,0.028,0.281,0.785,0.691,0
0.56,0.53,0.828,0.971,0.889,0.447,0.087,0.137,0.503,0.535,0
0.121,0.079,0.01,0.439,0.46,0.054,0,0.022,0.883,0.121,0
0.463,0.178,0.359,0.045,0.619,0.95,0,0.319,0.527,0.45,0
0.166,0.776,0.483,0.662,0.444,0.851,0.086,0.071,0.082,0.155,0
0.608,0.514,0.055,0.394,0.683,0.507,0,0.102,0.644,0.316,0
0.017,0,0.323,0.443,0.57,0,0.699,0.013,0.335,0.018,0
0.388,0.776,0.64,0.816,0.011,0.966,0.023,0.036,0.91,0.385,0
0.229,0.547,0.498,0.712,0.628,0.631,0,0,0.312,0.076,0
0.224,0.63,0.402,0.344,0.559,0.731,0.109,0.289,0.032,0.218,0
0.725,0.627,0.914,0.074,0.91,0.966,0.011,0.04,0.131,0.677,0
0.818,0.359,0.869,0.817,0.939,0.708,0.087,0.351,0.713,0.693,0
0.507,0.245,0.369,0.232,0.866,0.598,0.478,0.105,0.805,0.379,0
0.655,0.187,0.486,0.639,0.166,0.138,0,0.018,0.945,0.586,0
0.089,0,0.696,0.375,0.168,0.013,0.184,0.408,0.909,0.091,0
0.654,0.256,0.926,0.854,0.384,0.322,0.071,0.09,0.615,0.525,0
0.231,0.228,0.483,0.721,0.401,0.167,0.248,0.424,0.201,0.232,0
0.377,0.315,0.683,0.105,0.725,0.345,0.102,0.083,0.11,0.383,0
0.026,0.137,0.579,0.386,0.229,0.096,0.106,0.028,0.135,0.025,0
0.275,0.855,0.178,0.72,0.049,0.645,0.406,0.079,0.121,0.271,0
0.158,0.047,0.1,0.319,0.396,0.049,0,0,0.55,0.152,0
0.29,0.395,0.72,0.291,0.354,0.705,0.035,0.428,0.735,0.252,0
