model_name,task_type,algorithm_pair,ciphertext_size,train_size,test_size,accuracy,precision,recall,f1_score,training_time,random_seed,timestamp
SVM,multiclass,5-class,1KB,400,100,0.13,0.13883946488294313,0.13,0.13073637965824628,0.048159122467041016,42,2026-09-16T22:11:34.183533
KNN,multiclass,5-class,1KB,400,100,0.21,0.2300952380952381,0.21,0.20316801278241642,0.0159909725189209,42,2026-09-16T22:11:34.207996
RF,multiclass,5-class,1KB,400,100,0.22,0.2650225891526201,0.22,0.23231965955478684,0.06058669090270996,42,2026-09-16T22:11:34.274830
HKNNRF,multiclass,5-class,1KB,400,100,0.11,0.09076923076923078,0.11,0.09356556556556556,2.0829083919525146,42,2026-09-16T22:11:36.367048
SVM,multiclass,5-class,8KB,399,100,0.1,0.09897346132128743,0.1,0.08985355785355786,0.05647754669189453,42,2026-09-16T22:11:46.468824
KNN,multiclass,5-class,8KB,399,100,0.19,0.1916216216216216,0.19,0.1768735732985981,0.010540246963500977,42,2026-09-16T22:11:46.485176
RF,multiclass,5-class,8KB,399,100,0.21,0.23611883160586888,0.21,0.21440997214167948,0.08219313621520996,42,2026-09-16T22:11:46.575622
HKNNRF,multiclass,5-class,8KB,399,100,0.14,0.1357382183034357,0.14,0.13041119612548183,0.22005677223205566,42,2026-09-16T22:11:46.803863
SVM,multiclass,5-class,64KB,400,100,0.1,0.3287202380952381,0.1,0.10823333098589356,0.04410219192504883,42,2026-09-16T22:11:58.091996
KNN,multiclass,5-class,64KB,400,100,0.24,0.2614761904761905,0.24,0.2173389593528413,0.01774430274963379,42,2026-09-16T22:11:58.119993
RF,multiclass,5-class,64KB,400,100,0.16,0.16946662033618554,0.16,0.15962126600284496,0.0790863037109375,42,2026-09-16T22:11:58.206990
HKNNRF,multiclass,5-class,64KB,400,100,0.14,0.1585306577480491,0.14,0.14298770057255955,0.18800759315490723,42,2026-09-16T22:11:58.402027
SVM,multiclass,5-class,256KB,400,100,0.16,0.1369774844720497,0.16,0.1384266973740658,0.11217713356018066,42,2026-09-16T22:12:09.489916
KNN,multiclass,5-class,256KB,400,100,0.19,0.22845135035146136,0.19,0.17778195475385997,0.03317523002624512,42,2026-09-16T22:12:09.552535
